"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Nov-2024","EQ","477.60","477.95","471.15","476.95","471.90","472.85","474.91","528.50","399.35","50,41,916","2,39,44,32,824.50","1,29,476"
"11-Nov-2024","EQ","478.05","481.50","474.10","478.05","477.30","476.95","478.38","528.50","399.35","54,88,948","2,62,58,14,462.70","1,23,605"
"08-Nov-2024","EQ","477.90","480.70","474.60","477.90","478.80","478.05","477.78","528.50","399.35","60,90,462","2,90,99,20,473.35","1,05,996"
"07-Nov-2024","EQ","481.75","482.70","476.10","481.10","478.00","477.90","477.82","528.50","399.35","89,24,280","4,26,41,65,090.20","1,32,407"
"06-Nov-2024","EQ","480.20","484.40","478.00","480.20","481.95","481.10","480.83","528.50","399.35","1,13,13,985","5,44,01,09,205.55","1,40,673"
"05-Nov-2024","EQ","482.95","485.05","476.95","484.60","480.95","480.20","479.98","528.50","399.35","73,27,830","3,51,72,42,119.05","1,50,450"
"04-Nov-2024","EQ","493.45","493.45","479.55","490.30","485.25","484.60","483.55","528.50","399.35","84,29,731","4,07,61,59,422.90","1,70,904"
"01-Nov-2024","EQ","491.00","492.10","489.30","488.80","489.95","490.30","490.89","528.50","399.35","14,61,602","71,74,91,831.90","54,687"
"31-Oct-2024","EQ","492.00","493.00","484.70","491.55","489.25","488.80","487.80","528.50","399.35","78,10,874","3,81,01,27,063.40","1,61,609"
"30-Oct-2024","EQ","487.95","493.25","486.50","487.95","491.80","491.55","490.85","528.50","399.35","63,93,835","3,13,83,98,995.85","92,835"
"29-Oct-2024","EQ","485.00","489.20","481.30","484.15","488.00","487.95","486.12","528.50","399.35","68,66,704","3,33,80,33,179.65","1,11,564"
"28-Oct-2024","EQ","481.95","485.90","476.00","482.30","484.00","484.15","482.79","528.50","399.35","86,14,446","4,15,89,85,648.85","1,13,970"
"25-Oct-2024","EQ","475.80","493.50","474.20","471.70","482.25","482.30","486.29","528.50","399.35","3,09,61,625","15,05,62,61,874.00","3,79,810"
"24-Oct-2024","EQ","482.00","482.40","470.00","480.35","470.70","471.70","474.32","528.50","399.35","1,30,92,399","6,20,99,65,225.20","2,40,152"
